released,peso_ano
Data de lançamento não Informada,6.4
1892,6.7
1893,6.2
1894,5.47
1895,6.5
1896,5.59
1897,5.35
1898,5.53
1899,6.6
1900,5.22
1901,5.92
1902,7.1
1903,6.11
1904,5.99
1905,6.2
1906,6.34
1907,6.03
1908,6.23
1909,6.11
1910,6.18
1911,6.78
1912,6.39
1913,6.31
1914,6.51
1915,6.22
1916,6.76
1917,6.56
1918,6.79
1919,7.02
1920,6.86
1921,7.14
1922,6.98
1923,7.33
1924,7.07
1925,7.05
1926,7.18
1927,7.38
1928,7.28
1929,6.95
1930,6.78
1931,6.91
1932,6.85
1933,6.78
1934,6.66
1935,6.74
1936,6.81
1937,6.83
1938,6.8
1939,6.9
1940,6.88
1941,6.9
1942,6.72
1943,6.69
1944,6.79
1945,6.85
1946,6.87
1947,6.96
1948,6.94
1949,6.9
1950,6.86
1951,6.77
1952,6.73
1953,6.63
1954,6.62
1955,6.72
1956,6.74
1957,6.53
1958,6.51
1959,6.7
1960,6.64
1961,6.7
1962,6.78
1963,6.73
1964,6.7
1965,6.61
1966,6.41
1967,6.47
1968,6.69
1969,6.49
1970,6.53
1971,6.47
1972,6.56
1973,6.45
1974,6.52
1975,6.44
1976,6.33
1977,6.42
1978,6.29
1979,6.47
1980,6.31
1981,6.34
1982,6.43
1983,6.36
1984,6.18
1985,6.31
1986,6.31
1987,6.18
1988,6.17
1989,6.24
1990,6.18
1991,6.16
1992,6.27
1993,6.27
1994,6.17
1995,6.22
1996,6.24
1997,6.24
1998,6.35
1999,6.3
2000,6.28
2001,6.39
2002,6.33
2003,6.37
2004,6.39
2005,6.36
2006,6.3
2007,6.39
2008,6.28
2009,6.24
2010,6.27
2011,6.21
2012,6.22
2013,6.2
2014,6.25
2015,6.47
2016,6.53
2017,